k,start,end,matches,median_range_logerr,mean_range_logerr,median_close_logerr,mean_close_logerr,inside_daily_range
255,2004-09-15 03:05:54.255000+00:00,2042-05-28 19:29:00.106000+00:00,334,0.3709324457518674,0.4693145965404921,0.3760497966865989,0.4742600097491008,0.005988023952095809
245,2003-05-07 00:38:01.295000+00:00,2041-01-16 17:01:07.146000+00:00,382,0.3711454382841476,0.438523477126087,0.3746062432635294,0.4438654307167883,0.002617801047120419
239,2002-07-12 18:21:17.519000+00:00,2040-03-24 10:44:23.370000+00:00,379,0.3716185159755183,0.4351579444822053,0.377153686242036,0.43963619778934,0.005277044854881266
251,2004-02-29 06:54:45.071000+00:00,2041-11-10 23:17:50.922000+00:00,365,0.37187487360216875,0.4745304727352634,0.3781762648962915,0.47923408556882574,0.0
252,2004-04-18 23:57:32.367000+00:00,2041-12-30 16:20:38.218000+00:00,375,0.37332690988806155,0.47379344218457564,0.37644886547345047,0.479076198848457,0.005333333333333333
250,2004-01-10 13:51:57.775000+00:00,2041-09-22 06:15:03.626000+00:00,339,0.37529041022827786,0.4709775854972379,0.3837349715463701,0.47626592696352404,0.0058997050147492625
254,2004-07-27 10:03:06.959000+00:00,2042-04-09 02:26:12.810000+00:00,362,0.37631320439745797,0.4776176184157634,0.3790266140152248,0.4833487973085956,0.0027624309392265192
246,2003-06-25 17:40:48.591000+00:00,2041-03-07 10:03:54.442000+00:00,354,0.3765887781178168,0.4642163598161627,0.3868762715461638,0.46943546522450635,0.005649717514124294
238,2002-05-24 01:18:30.223000+00:00,2040-02-03 17:41:36.074000+00:00,380,0.3767072375376306,0.43194374493429527,0.38385637083945867,0.436956804483672,0.007894736842105263
263,2005-10-17 19:28:12.623000+00:00,2043-06-30 11:51:18.474000+00:00,318,0.3768812053653019,0.4481074510829166,0.381041447219739,0.4536205566165708,0.0
273,2007-02-26 21:56:05.583000+00:00,2044-11-08 14:19:11.434000+00:00,287,0.3800711992256571,0.4854699008112162,0.38704183721072916,0.4912157525176219,0.003484320557491289
264,2005-12-06 12:30:59.919000+00:00,2043-08-19 04:54:05.770000+00:00,303,0.38014858804644447,0.45742090675279506,0.3874610284637113,0.46318791888702715,0.013201320132013201
247,2003-08-14 10:43:35.887000+00:00,2041-04-26 03:06:41.738000+00:00,333,0.3810162075141313,0.46164372924660463,0.3895967743506518,0.46764684337192197,0.006006006006006006
256,2004-11-03 20:08:41.551000+00:00,2042-07-17 12:31:47.402000+00:00,305,0.3823822820776372,0.47884806044952855,0.38381293801200866,0.4834045419286089,0.013114754098360656
272,2007-01-08 04:53:18.287000+00:00,2044-09-19 21:16:24.138000+00:00,285,0.38267292728809643,0.48568036083294364,0.38977682699156074,0.49080570053832456,0.028070175438596492
279,2007-12-22 04:12:49.359000+00:00,2045-09-02 20:35:55.210000+00:00,217,0.3855002091459892,0.5502754304269744,0.3950184765897736,0.5562314293902193,0.004608294930875576
271,2006-11-19 11:50:30.991000+00:00,2044-08-01 04:13:36.842000+00:00,284,0.38577311546942483,0.4909178800387352,0.38836456450080115,0.4958972351655423,0.007042253521126761
259,2005-04-01 23:17:03.439000+00:00,2042-12-13 15:40:09.290000+00:00,277,0.3882128453535445,0.4723582822859368,0.3898556763072316,0.4780745261781724,0.0
