source_row_group,timestamp_cycle,path_score,local_best_cycle,local_best_score,second_best_cycle,second_best_score
435,379,0.0007966535600924449,379,0.0007966535600924449,378,0.004990513426448829
436,380,0.0016337201747052014,380,0.0016337201747052014,314,0.00717640802641915
437,379,0.0016022292158447188,379,0.0016022292158447188,378,0.0076861422766706135
438,381,0.00396798189775913,379,0.0005786715747204084,381,0.00396798189775913
439,385,0.016402254828957345,385,0.016402254828957345,388,0.025791051366857998
440,380,0.001172330661905533,380,0.001172330661905533,386,0.005689021232972901
441,380,0.0006918591052973456,380,0.0006918591052973456,381,0.007428511535200561
442,380,0.0010181100758780322,380,0.0010181100758780322,382,0.003763903380567312
443,375,0.006932440484282207,375,0.006932440484282207,386,0.025240694963925368
444,381,0.0005489660407670093,381,0.0005489660407670093,375,0.0024704396328614113
445,381,0.0014131146844299255,381,0.0014131146844299255,371,0.013853882960080563
446,388,0.008246988348861459,381,0.004431491349612916,380,0.007794115139207945
447,394,0.0018201654704033086,394,0.0018201654704033086,374,0.014920741166357453
448,386,0.012858436443164761,381,0.005135295762950893,379,0.006105439297025922
449,381,0.0011519881644054273,381,0.0011519881644054273,380,0.003942701440467448
450,381,0.0012405863989662946,381,0.0012405863989662946,379,0.004036607712214279
451,382,0.0012715510641200043,382,0.0012715510641200043,378,0.009805005187139025
452,382,0.0006612406073376218,382,0.0006612406073376218,389,0.004044403537299276
453,382,0.0009185874730129942,382,0.0009185874730129942,375,0.0075066095375583685
454,380,1.0,240,1.0,241,1.0
455,383,0.0012960219707199177,383,0.0012960219707199177,373,0.007765673959509835
456,383,0.012073186025483348,373,0.010784389510342081,383,0.012073186025483348
457,382,0.0006717478517381107,382,0.0006717478517381107,384,0.00602900540439184
458,382,0.004190369992530802,382,0.004190369992530802,384,0.005060659609693685
459,383,0.0015973772381051527,383,0.0015973772381051527,394,0.0066127931987903675
460,383,0.0011628812771623815,383,0.0011628812771623815,396,0.005642954290620354
461,383,0.0022807297428848895,383,0.0022807297428848895,393,0.018476088051129717
462,383,0.005437943010298125,383,0.005437943010298125,392,0.00874134428449211
463,383,0.004556622889829965,383,0.004556622889829965,392,0.006475413405334337
464,384,0.0013898971024460395,384,0.0013898971024460395,390,0.012738577262178832
465,384,0.0020214226755907896,384,0.0020214226755907896,383,0.008666443168550092
466,384,0.004891674296981031,384,0.004891674296981031,373,0.017437650025993626
467,383,0.0009775887593421182,383,0.0009775887593421182,392,0.003378100553760471
468,385,0.01671397294143385,385,0.01671397294143385,373,0.0209625831047878
469,384,0.0010360992487951316,384,0.0010360992487951316,373,0.012733046443379904
470,384,0.002384453693627428,384,0.002384453693627428,382,0.0071114331672370405
471,384,0.002080411402835518,384,0.002080411402835518,374,0.0036113224733972486
472,385,0.0009861775307186172,385,0.0009861775307186172,375,0.003843128186188296
473,385,0.002449912793469888,385,0.002449912793469888,389,0.0037235281567637845
474,385,0.0011466758967294845,385,0.0011466758967294845,375,0.004543181166427648
475,384,1.0,240,1.0,241,1.0
476,386,0.0018243966090799937,386,0.0018243966090799937,387,0.004383933206450114
477,380,0.005470157197321461,380,0.005470157197321461,379,0.015365600686916683
478,385,0.0008152990456598353,385,0.0008152990456598353,375,0.007670107294394225
479,385,0.0014762453318651662,385,0.0014762453318651662,375,0.0017283626391012504
480,386,0.001006200555528884,386,0.001006200555528884,380,0.005798204530619842
481,386,0.0006863362643426044,386,0.0006863362643426044,307,0.004470208935350217
482,386,0.0007877706497828234,386,0.0007877706497828234,385,0.006577667927696741
483,306,0.02506577669426306,306,0.02506577669426306,365,0.19502856874150026
484,387,0.0010195718174681053,387,0.0010195718174681053,386,0.0037592620212886264
485,387,0.0016686317472046782,387,0.0016686317472046782,310,0.009302176487324683
486,387,0.0016463055584392484,387,0.0016463055584392484,313,0.0129242400919719
487,387,0.008890350286501114,387,0.008890350286501114,305,0.017762064162695455
488,388,0.004028765292903169,388,0.004028765292903169,307,0.006688917311444467
489,387,0.0018770393244048442,387,0.0018770393244048442,314,0.009957499907332903
490,387,0.0030187180944572832,387,0.0030187180944572832,316,0.0052210979568730375
491,387,0.00124748202033518,387,0.00124748202033518,308,0.015376627063007346
492,388,0.0020494396996218033,388,0.0020494396996218033,369,0.007731366335201493
493,388,0.0012709699368071688,388,0.0012709699368071688,381,0.010188382275052914
494,388,0.0016763280315215624,388,0.0016763280315215624,305,0.009011253019295246
495,389,0.0007237497591978042,389,0.0007237497591978042,371,0.005720494148023405
496,389,0.007889384001088167,389,0.007889384001088167,371,0.011578761122246577
497,388,0.0003278654140703424,388,0.0003278654140703424,376,0.0044430269177661704
498,389,0.005253533826834825,389,0.005253533826834825,384,0.007903461605597953
499,389,0.000900624159065196,389,0.000900624159065196,377,0.00816746241923065
500,389,0.0013690289519950347,389,0.0013690289519950347,383,0.002892979511684145
501,390,0.0009683337054212373,390,0.0009683337054212373,385,0.007159986177628824
502,390,0.0013126682285186518,390,0.0013126682285186518,385,0.005492868076708668
503,390,0.0012413114673131866,390,0.0012413114673131866,375,0.006370445034373667
504,391,0.0024766223279613776,391,0.0024766223279613776,384,0.013901450964050273
505,391,0.009272055298414216,391,0.009272055298414216,384,0.01628304874580914
506,390,0.0007643516113336123,390,0.0007643516113336123,384,0.008647957480783387
507,390,0.0026855072489049836,390,0.0026855072489049836,371,0.005204892648067318
